Group,Site.Name,Latitude,Longitude,Date,Time,Rain.mm,Temp,RH,WindSpeed.ms,GustSpeed.ms,WindDirection.theta,WindDirection
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,22:46:00,0,14.77,67.648,1.51,5.03,172.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,23:01:00,0,14.877,67.189,1.51,4.53,186.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,23:16:00,0,14.813,67.536,2.01,5.54,183.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,23:31:00,0,14.705,68.127,1.51,5.03,181.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,23:46:00,0,14.813,67.987,2.01,7.05,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,0:01:00,0,14.663,68.444,1.51,6.04,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,0:16:00,0,14.705,68.353,2.01,6.54,174.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,0:31:00,0,14.834,68.17,1.51,6.04,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,0:46:00,0,14.727,68.595,2.01,6.04,181.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,1:01:00,0,14.727,68.992,2.01,5.54,179.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,1:16:00,0,14.963,68.069,2.01,6.04,188.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,1:31:00,0,14.941,68.746,2.52,8.05,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,1:46:00,0,14.984,68.344,2.52,7.05,176.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,2:01:00,0,15.07,68.132,2.01,6.54,189.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,2:16:00,0,15.113,68.38,2.01,6.54,198,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,2:31:00,0,15.092,68.801,2.52,7.05,176.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,2:46:00,0,15.092,68.777,2.52,7.55,174.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,3:01:00,0,14.941,69.317,2.52,7.55,168.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,3:16:00,0,14.92,69.497,2.01,7.05,174.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,3:31:00,0,14.941,69.258,2.52,6.04,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,3:46:00,0,14.856,69.593,2.01,5.54,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,4:01:00,0,14.813,69.854,2.01,6.04,185.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,4:16:00,0,14.813,69.926,2.01,7.55,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,4:31:00,0,14.877,69.592,2.52,6.54,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,4:46:00,0,14.941,69.267,2.52,8.05,169.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,5:01:00,0,14.77,69.683,2.01,5.54,169.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,5:16:00,0,14.92,69.084,2.01,7.05,181.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,5:31:00,0,14.941,68.646,2.01,6.54,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,5:46:00,0,14.813,69.117,2.52,6.54,174.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,6:01:00,0,14.727,69.63,2.01,6.04,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,6:16:00,0,14.705,69.372,2.01,6.54,176.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,6:31:00,0,14.663,69.129,2.01,7.05,172.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,6:46:00,0,14.663,68.988,2.01,6.04,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,7:01:00,0,14.663,68.882,1.51,5.54,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,7:16:00,0,14.641,68.901,1.51,5.03,186.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,7:31:00,0,14.641,68.795,2.01,5.54,181.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,7:46:00,0,14.641,68.452,1.51,6.04,192.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,8:01:00,0,14.62,68.26,1.51,5.03,192.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,8:16:00,0,14.77,67.971,1.51,5.54,202.2,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,8:31:00,0,14.856,67.797,1.51,6.04,189.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,8:46:00,0,15.177,67.25,2.01,6.04,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,9:01:00,0,15.542,64.947,2.01,7.05,192.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,9:16:00,0,15.456,66.31,2.01,6.54,195.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,9:31:00,0,16.7,61.654,2.01,7.05,189.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,9:46:00,0,16.336,62.652,2.01,7.05,183.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,10:01:00,0,16.614,60.941,2.52,10.07,174.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,10:16:00,0,16.936,60.356,2.52,9.06,185.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,10:31:00,0,17.258,59.301,2.52,8.05,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,10:46:00,0,17.279,59.321,2.52,8.05,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,11:01:00,0,17.858,58.758,2.01,7.05,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,11:16:00,0,20.282,50.517,2.01,5.54,183.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,11:31:00,0,19.917,51.707,3.02,9.06,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,11:46:00,0,19.145,52.929,2.52,9.06,176.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,12:01:00,0,18.609,55.192,2.01,5.03,169.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,12:16:00,0,18.244,56.793,2.01,6.04,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,12:31:00,0,18.738,55.232,2.01,5.54,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,12:46:00,0,19.231,53.236,1.51,4.53,172.7,S
